year,method,outcome,subset,mae,bias,outer_fold
2007,simple,A_new344,all,0.010202771889399834,-0.00039353437755062674,4
2007,simple,A_new344,high,0.009068493074496902,0.00031104819929477396,4
2007,simple,C,all,0.013846847876259828,0.0008010933846847612,4
2007,simple,C,high,0.012609079689010263,0.0016217893689207015,4
2007,variogram,A,all,0.007926358430812316,-0.0005869814116262737,4
2007,variogram,A,high,0.0068677672587286465,-0.0001890227674536431,4
2007,variogram,A_new344,all,0.009912951194287815,-0.0007594355712623802,4
2007,variogram,A_new344,high,0.008566056941026856,-0.00024465106334650526,4
2007,variogram,C,all,0.013347680399305636,0.00013940237247029167,4
2007,variogram,C,high,0.012092927589158907,0.0011272619899698663,4
2008,graph,A,all,0.008361969835880646,-0.0005405168683447674,4
2008,graph,A,high,0.007776432489843433,-0.0005486012126219618,4
2008,graph,A_new344,all,0.010324970760140505,-0.0006262233699297735,4
2008,graph,A_new344,high,0.009592109022253189,-0.0005130972488088128,4
2008,graph,C,all,0.01414402901920496,-0.0007195729251497578,4
2008,graph,C,high,0.013209797242498694,-0.0008277849509141644,4
