method,outcome,subset,threshold_c,mae,bias
variogram,A_new344,all,13.0,0.005500420748074984,-0.00019741417002405896
variogram,A_new344,all,13.25,0.005764282313451788,-0.00022344103362705704
variogram,A_new344,all,13.5,0.006130742877479397,-0.00019788504394759127
variogram,A_new344,all,13.75,0.006465425631630638,-0.00020024106380867567
variogram,A_new344,all,14.0,0.0068919457662654565,-0.00015481046790271095
variogram,A_new344,all,14.25,0.0073138460669682475,-0.00013256167850471333
variogram,A_new344,all,14.5,0.007682658180794897,-9.527153378735414e-05
variogram,A_new344,all,14.75,0.008098546527791066,-5.649858195294378e-05
variogram,A_new344,all,15.0,0.008393167603629452,-8.208588489271555e-06
variogram,A_new344,all,15.25,0.008808564530964052,-1.1627249552423967e-05
variogram,A_new344,all,15.5,0.009214685197735715,9.612968106322964e-06
variogram,A_new344,all,15.75,0.00942248481459403,-1.2520165634309874e-05
variogram,A_new344,all,16.0,0.009623806778965006,-1.1380684202195415e-05
variogram,A_new344,all,16.25,0.010011819899099954,-5.244899851415166e-05
variogram,A_new344,all,16.5,0.010238275963532748,-6.67083544429885e-05
variogram,A_new344,all,16.75,0.01051440259136604,-4.072626577413415e-05
variogram,A_new344,all,17.0,0.011005374366588879,-7.380591037062361e-05
variogram,A_new344,all,17.25,0.011133755002516146,-6.668083178954973e-05
variogram,A_new344,all,17.5,0.011218729513595677,-4.083296034149367e-05
variogram,A_new344,all,17.75,0.011502556659885277,-6.189023633453653e-05
variogram,A_new344,all,18.0,0.011721314940299144,-2.47263149757421e-05
variogram,A_new344,all,18.25,0.011707546991364724,-3.865104366497904e-05
variogram,A_new344,all,18.5,0.011830769353894467,-9.045206015375937e-05
variogram,A_new344,all,18.75,0.012248139806568673,-4.510036857461525e-05
variogram,A_new344,all,19.0,0.012667602855950155,-5.770801327302132e-05
variogram,A_new344,all,19.25,0.012806071675451145,-8.65936934415122e-05
variogram,A_new344,all,19.5,0.013250714717805027,-0.00011201663673153128
variogram,A_new344,all,19.75,0.013240180100495155,-0.00010970370985708581
variogram,A_new344,all,20.0,0.013432439874582138,-0.0001136262281745828
variogram,A_new344,all,20.25,0.01400393653235791,-9.300903313244165e-05
variogram,A_new344,all,20.5,0.01440687904419386,-0.0001246691130443448
variogram,A_new344,all,20.75,0.01445285591218989,-9.903278789565875e-05
variogram,A_new344,all,21.0,0.014420131905826106,-0.00010473209221652937
variogram,A_new344,all,21.25,0.014760109694895579,-0.00012931415708211132
variogram,A_new344,all,21.5,0.015023014192926691,-0.0001786206858571668
variogram,A_new344,all,21.75,0.014740689797377256,-0.00012657732588128407
variogram,A_new344,all,22.0,0.014992859115502612,-0.00011592538254800456
variogram,A_new344,all,22.25,0.01500980954384237,-8.108732635435336e-05
variogram,A_new344,all,22.5,0.015095520311407404,-0.00012036833030639316
variogram,A_new344,all,22.75,0.015554397979742892,-0.00011661769824342139
variogram,A_new344,all,23.0,0.015071440865759428,-8.61745077369126e-05
variogram,A_new344,all,23.25,0.015104613738542837,-4.917875855735406e-05
variogram,A_new344,all,23.5,0.015337349528665514,-3.0435339160596288e-05
variogram,A_new344,all,23.75,0.015497741134117483,-7.835965944718185e-05
variogram,A_new344,all,24.0,0.015733880047845667,-9.32033557573296e-05
variogram,A_new344,all,24.25,0.015566461229657973,-4.8327200089550993e-05
variogram,A_new344,all,24.5,0.015741321002539322,2.411971057223108e-05
